break_even_price,open_interest,details.contract_type,details.exercise_style,details.expiration_date,details.shares_per_contract,details.strike_price,details.ticker,last_quote.ask,last_quote.ask_size,last_quote.ask_exchange,last_quote.bid,last_quote.bid_size,last_quote.bid_exchange,last_quote.last_updated,last_quote.midpoint,last_quote.timeframe,underlying_asset.change_to_break_even,underlying_asset.last_updated,underlying_asset.price,underlying_asset.ticker,underlying_asset.timeframe,day.close,day.high,day.last_updated,day.low,day.open,day.volume,day.vwap,last_trade.sip_timestamp,last_trade.conditions,last_trade.price,last_trade.size,last_trade.exchange,last_trade.timeframe,day.change,day.change_percent,day.previous_close,implied_volatility,greeks.delta,greeks.gamma,greeks.theta,greeks.vega
490.985,0,call,american,2024-01-30,100,460,O:SPY240130C00460000,31.18,305,316,30.79,305,316,1706562880324122368,30.985,REAL-TIME,0.045,1706566042664777472,490.94,SPY,REAL-TIME,28.0,28.05,1.7065044e+18,28.0,28.05,2.0,28.025,1.706540427175565e+18,[209],28.0,1.0,313.0,REAL-TIME,,,,,,,,
490.985,20,call,american,2024-01-30,100,461,O:SPY240130C00461000,30.18,305,316,29.79,305,316,1706562880324131584,29.985,REAL-TIME,0.045,1706566042664777472,490.94,SPY,REAL-TIME,26.47,26.47,1.7063028e+18,26.47,26.47,21.0,26.47,1.706291073001e+18,[232],26.47,20.0,308.0,REAL-TIME,0.0,0.0,26.47,,,,,
490.99,5,call,american,2024-01-30,100,462,O:SPY240130C00462000,29.18,305,316,28.8,305,316,1706562880324337152,28.99,REAL-TIME,0.05,1706566042664777472,490.94,SPY,REAL-TIME,25.63,25.63,1.70613e+18,25.63,25.63,2.0,25.63,1.706122560439e+18,[233],25.63,2.0,312.0,REAL-TIME,0.0,0.0,25.63,0.32079748145998765,0.9997669650998784,7.772681622161484e-05,-0.0469053576788328,0.00015663806700933744
490.99,0,call,american,2024-01-30,100,463,O:SPY240130C00463000,28.18,305,316,27.8,305,316,1706562880324312064,27.99,REAL-TIME,0.05,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,0.2998829524580704,0.9998291314094961,5.5675501900452735e-05,-0.04606624035773746,0.00015580374356694815
490.99,0,call,american,2024-01-30,100,464,O:SPY240130C00464000,27.18,305,316,26.8,305,316,1706562880324381952,26.99,REAL-TIME,0.05,1706566042664777472,490.94,SPY,REAL-TIME,,,,,,,,,,,,,,,,,0.2787521639581778,0.9999006644889031,2.586923419148497e-05,-0.04522602266366338,3.149238911222747e-05
490.99,12,call,american,2024-01-30,100,465,O:SPY240130C00465000,26.18,305,316,25.8,305,316,1706562880324096768,25.99,REAL-TIME,0.05,1706566042664777472,490.94,SPY,REAL-TIME,25.5,25.5,1.7065044e+18,23.21,23.21,2.0,24.355,1.706559394953578e+18,[232],25.5,1.0,312.0,REAL-TIME,3.21,14.401,22.29,,,,,
490.99,3,call,american,2024-01-30,100,466,O:SPY240130C00466000,25.18,305,316,24.8,305,316,1706562880324112640,24.99,REAL-TIME,0.05,1706566042664777472,490.94,SPY,REAL-TIME,24.93,24.93,1.7065044e+18,24.93,24.93,2.0,24.93,1.7065596998890913e+18,[232],24.93,2.0,312.0,REAL-TIME,5.9,31.004,19.03,,,,,
490.995,59,call,american,2024-01-30,100,467,O:SPY240130C00467000,24.17,325,302,23.82,325,302,1706562879358254848,23.995,REAL-TIME,0.055,1706566042664777472,490.94,SPY,REAL-TIME,21.33,21.33,1.7065044e+18,21.33,21.33,5.0,21.33,1.706549053577428e+18,[209],21.33,5.0,313.0,REAL-TIME,0.56,2.696,20.77,0.31828209338592967,0.9981948892472624,0.000639190308636093,-0.0662953091873544,0.0020740511157509526
490.995,18,call,american,2024-01-30,100,468,O:SPY240130C00468000,23.17,325,302,22.82,325,302,1706562879358425344,22.995,REAL-TIME,0.055,1706566042664777472,490.94,SPY,REAL-TIME,19.98,19.98,1.7065044e+18,19.98,19.98,1.0,19.98,1.706539869186448e+18,[232],19.98,1.0,308.0,REAL-TIME,-0.15,-0.745,20.13,0.3048225982531826,0.99818303740696,0.0006714865992237897,-0.06566133933480164,0.002074322407871791
490.995,13,call,american,2024-01-30,100,469,O:SPY240130C00469000,22.17,325,302,21.82,325,302,1706562879358425344,21.995,REAL-TIME,0.055,1706566042664777472,490.94,SPY,REAL-TIME,18.84,18.84,1.7065044e+18,18.84,18.84,10.0,18.84,1.7065422273174438e+18,[233],18.84,3.0,323.0,REAL-TIME,0.21,1.127,18.63,0.2913921177487176,0.998170281506837,0.0007070210251748254,-0.06502736724748688,0.0020748949308659202
